motive_family,motive_label,emotion,tweets,reason_total,reason_emotion_share,display_label,emotion_display
1,Demotivated by previous cases of reporting,anger,2,9,0.2222222222222222,Discouraged by prior reporting outcomes,anger
1,Demotivated by previous cases of reporting,fear,1,9,0.1111111111111111,Discouraged by prior reporting outcomes,fear
1,Demotivated by previous cases of reporting,joy,4,9,0.4444444444444444,Discouraged by prior reporting outcomes,joy
1,Demotivated by previous cases of reporting,sadness,2,9,0.2222222222222222,Discouraged by prior reporting outcomes,sadness
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),anger,9,44,0.20454545454545456,Gaslighting or self-doubt,anger
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),fear,5,44,0.11363636363636363,Gaslighting or self-doubt,fear
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),joy,8,44,0.18181818181818182,Gaslighting or self-doubt,joy
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),sadness,22,44,0.5,Gaslighting or self-doubt,sadness
11,Shame/embarassment,anger,25,78,0.32051282051282054,Shame or embarrassment,anger
11,Shame/embarassment,fear,12,78,0.15384615384615385,Shame or embarrassment,fear
11,Shame/embarassment,joy,12,78,0.15384615384615385,Shame or embarrassment,joy
11,Shame/embarassment,sadness,29,78,0.3717948717948718,Shame or embarrassment,sadness
12,Lack of support from others,anger,10,60,0.16666666666666666,Lack of support,anger
12,Lack of support from others,fear,14,60,0.23333333333333334,Lack of support,fear
12,Lack of support from others,joy,6,60,0.1,Lack of support,joy
12,Lack of support from others,sadness,30,60,0.5,Lack of support,sadness
14,"Perpetrator was respected, powerfull, influential",anger,20,62,0.3225806451612903,Perpetrator status or power,anger
14,"Perpetrator was respected, powerfull, influential",fear,13,62,0.20967741935483872,Perpetrator status or power,fear
14,"Perpetrator was respected, powerfull, influential",joy,6,62,0.0967741935483871,Perpetrator status or power,joy
14,"Perpetrator was respected, powerfull, influential",sadness,23,62,0.3709677419354839,Perpetrator status or power,sadness
15,Invisible violence / lack of physical evidence,anger,13,56,0.23214285714285715,Invisible violence or lack of evidence,anger
15,Invisible violence / lack of physical evidence,fear,10,56,0.17857142857142858,Invisible violence or lack of evidence,fear
15,Invisible violence / lack of physical evidence,joy,7,56,0.125,Invisible violence or lack of evidence,joy
15,Invisible violence / lack of physical evidence,sadness,26,56,0.4642857142857143,Invisible violence or lack of evidence,sadness
16,"""No one would believe""",anger,12,50,0.24,No one would believe,anger
16,"""No one would believe""",fear,7,50,0.14,No one would believe,fear
16,"""No one would believe""",joy,9,50,0.18,No one would believe,joy
16,"""No one would believe""",sadness,22,50,0.44,No one would believe,sadness
17,Blaming the victim,anger,4,21,0.19047619047619047,Victim blaming,anger
17,Blaming the victim,fear,3,21,0.14285714285714285,Victim blaming,fear
17,Blaming the victim,joy,1,21,0.047619047619047616,Victim blaming,joy
17,Blaming the victim,sadness,13,21,0.6190476190476191,Victim blaming,sadness
18,Perpetrator was a family member,anger,5,36,0.1388888888888889,Perpetrator was family,anger
18,Perpetrator was a family member,fear,4,36,0.1111111111111111,Perpetrator was family,fear
18,Perpetrator was a family member,joy,6,36,0.16666666666666666,Perpetrator was family,joy
18,Perpetrator was a family member,sadness,21,36,0.5833333333333334,Perpetrator was family,sadness
19,Protection of the family,anger,15,54,0.2777777777777778,Family protection,anger
19,Protection of the family,fear,10,54,0.18518518518518517,Family protection,fear
19,Protection of the family,joy,6,54,0.1111111111111111,Family protection,joy
19,Protection of the family,sadness,23,54,0.42592592592592593,Family protection,sadness
