retweet_phase_id,retweet_phase,retweet_phase_group,motive_family,motive_label,retweet_label_events,unique_retweets,phase_total_events,phase_share,display_label
1.0,phase_1,phase 1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),26,26,592,0.04391891891891892,Gaslighting or self-doubt
1.0,phase_1,phase 1,11,Shame/embarassment,43,43,592,0.07263513513513513,Shame or embarrassment
1.0,phase_1,phase 1,12,Lack of support from others,24,24,592,0.04054054054054054,Lack of support
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",16,16,592,0.02702702702702703,Perpetrator status or power
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,109,109,592,0.18412162162162163,Invisible violence or lack of evidence
1.0,phase_1,phase 1,16,"""No one would believe""",9,9,592,0.015202702702702704,No one would believe
1.0,phase_1,phase 1,19,Protection of the family,12,12,592,0.02027027027027027,Family protection
1.0,phase_1,phase 1,2,Distrust in institutions,91,91,592,0.15371621621621623,Distrust in institutions
1.0,phase_1,phase 1,20,"Belief that perpetartor will change (""it won't happen again"")",2,2,592,0.0033783783783783786,Belief perpetrator would change
1.0,phase_1,phase 1,22,Dependent on the perpetrator,26,26,592,0.04391891891891892,Dependence on perpetrator
1.0,phase_1,phase 1,3,Others minimized victims experience,21,17,592,0.03547297297297297,Others minimized the experience
1.0,phase_1,phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",22,22,592,0.037162162162162164,Experience treated as normal
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,87,87,592,0.14695945945945946,Lack of recognition as violence
1.0,phase_1,phase 1,6,Fear,62,62,592,0.10472972972972973,Fear
1.0,phase_1,phase 1,7,Self-blame,26,26,592,0.04391891891891892,Self-blame
1.0,phase_1,phase 1,9,Managed to escape/defend,16,16,592,0.02702702702702703,Escaped or defended oneself
2.0,phase_2,phases 2-3,1,Demotivated by previous cases of reporting,3,3,5389,0.000556689552792726,Demotivated by previous cases of reporting
2.0,phase_2,phases 2-3,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),439,439,5389,0.08146223789200223,Gaslighting or self-doubt
2.0,phase_2,phases 2-3,11,Shame/embarassment,350,350,5389,0.06494711449248469,Shame or embarrassment
2.0,phase_2,phases 2-3,12,Lack of support from others,261,261,5389,0.048431991092967155,Lack of support
2.0,phase_2,phases 2-3,14,"Perpetrator was respected, powerfull, influential",105,105,5389,0.01948413434774541,Perpetrator status or power
2.0,phase_2,phases 2-3,15,Invisible violence / lack of physical evidence,478,478,5389,0.08869920207830767,Invisible violence or lack of evidence
2.0,phase_2,phases 2-3,16,"""No one would believe""",87,87,5389,0.016143997030989052,No one would believe
2.0,phase_2,phases 2-3,18,Perpetrator was a family member,186,186,5389,0.034514752273149006,Perpetrator was family
2.0,phase_2,phases 2-3,19,Protection of the family,350,350,5389,0.06494711449248469,Family protection
2.0,phase_2,phases 2-3,2,Distrust in institutions,303,303,5389,0.05622564483206532,Distrust in institutions
2.0,phase_2,phases 2-3,20,"Belief that perpetartor will change (""it won't happen again"")",99,99,5389,0.018370755242159954,Belief perpetrator would change
2.0,phase_2,phases 2-3,22,Dependent on the perpetrator,212,212,5389,0.039339395064019296,Dependence on perpetrator
2.0,phase_2,phases 2-3,23,I can deal with it,56,56,5389,0.010391538318797551,I can deal with it
2.0,phase_2,phases 2-3,24,Blaming the victim,19,19,5389,0.0035257005010205975,Blaming the victim
2.0,phase_2,phases 2-3,3,Others minimized victims experience,228,223,5389,0.04230840601224717,Others minimized the experience
2.0,phase_2,phases 2-3,4,"""I tought that was normal"" (dismisal/minimizing)",153,153,5389,0.028391167192429023,Experience treated as normal
2.0,phase_2,phases 2-3,5,Lack of knowledge/awarenes that it is violence,835,809,5389,0.15494525886064206,Lack of recognition as violence
2.0,phase_2,phases 2-3,6,Fear,660,660,5389,0.1224717016143997,Fear
2.0,phase_2,phases 2-3,7,Self-blame,345,345,5389,0.06401929857116348,Self-blame
2.0,phase_2,phases 2-3,8,"Kept from reporting by others (""advised me not to report"")",28,28,5389,0.005195769159398776,Discouraged by others
2.0,phase_2,phases 2-3,9,Managed to escape/defend,192,192,5389,0.03562813137873446,Escaped or defended oneself
