motive_family,motive_label,emotion,tweets,reason_total,reason_emotion_share,display_label,emotion_display
1,Demotivated by previous cases of reporting,strah,1,7,0.14285714285714285,Demotivated by previous cases of reporting,fear
1,Demotivated by previous cases of reporting,tuga,6,7,0.8571428571428571,Demotivated by previous cases of reporting,sadness
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),bes,10,44,0.22727272727272727,Gaslighting or self-doubt,anger
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),gađenje,4,44,0.09090909090909091,Gaslighting or self-doubt,disgust
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),radost,4,44,0.09090909090909091,Gaslighting or self-doubt,joy
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),strah,10,44,0.22727272727272727,Gaslighting or self-doubt,fear
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),tuga,16,44,0.36363636363636365,Gaslighting or self-doubt,sadness
11,Shame/embarassment,bes,13,78,0.16666666666666666,Shame or embarrassment,anger
11,Shame/embarassment,gađenje,5,78,0.0641025641025641,Shame or embarrassment,disgust
11,Shame/embarassment,neutralno,1,78,0.01282051282051282,Shame or embarrassment,neutral
11,Shame/embarassment,radost,2,78,0.02564102564102564,Shame or embarrassment,joy
11,Shame/embarassment,strah,14,78,0.1794871794871795,Shame or embarrassment,fear
11,Shame/embarassment,tuga,43,78,0.5512820512820513,Shame or embarrassment,sadness
12,Lack of support from others,bes,16,60,0.26666666666666666,Lack of support,anger
12,Lack of support from others,gađenje,6,60,0.1,Lack of support,disgust
12,Lack of support from others,neutralno,2,60,0.03333333333333333,Lack of support,neutral
12,Lack of support from others,radost,1,60,0.016666666666666666,Lack of support,joy
12,Lack of support from others,strah,9,60,0.15,Lack of support,fear
12,Lack of support from others,tuga,26,60,0.43333333333333335,Lack of support,sadness
14,"Perpetrator was respected, powerfull, influential",bes,10,62,0.16129032258064516,Perpetrator status or power,anger
14,"Perpetrator was respected, powerfull, influential",gađenje,7,62,0.11290322580645161,Perpetrator status or power,disgust
14,"Perpetrator was respected, powerfull, influential",iščekivanje,1,62,0.016129032258064516,Perpetrator status or power,anticipation
14,"Perpetrator was respected, powerfull, influential",radost,2,62,0.03225806451612903,Perpetrator status or power,joy
14,"Perpetrator was respected, powerfull, influential",strah,14,62,0.22580645161290322,Perpetrator status or power,fear
14,"Perpetrator was respected, powerfull, influential",tuga,28,62,0.45161290322580644,Perpetrator status or power,sadness
15,Invisible violence / lack of physical evidence,bes,8,56,0.14285714285714285,Invisible violence or lack of evidence,anger
15,Invisible violence / lack of physical evidence,gađenje,4,56,0.07142857142857142,Invisible violence or lack of evidence,disgust
15,Invisible violence / lack of physical evidence,neutralno,1,56,0.017857142857142856,Invisible violence or lack of evidence,neutral
15,Invisible violence / lack of physical evidence,poverenje,1,56,0.017857142857142856,Invisible violence or lack of evidence,trust
15,Invisible violence / lack of physical evidence,radost,1,56,0.017857142857142856,Invisible violence or lack of evidence,joy
15,Invisible violence / lack of physical evidence,strah,17,56,0.30357142857142855,Invisible violence or lack of evidence,fear
15,Invisible violence / lack of physical evidence,tuga,24,56,0.42857142857142855,Invisible violence or lack of evidence,sadness
16,"""No one would believe""",bes,6,50,0.12,No one would believe,anger
16,"""No one would believe""",gađenje,5,50,0.1,No one would believe,disgust
16,"""No one would believe""",neutralno,1,50,0.02,No one would believe,neutral
16,"""No one would believe""",poverenje,1,50,0.02,No one would believe,trust
16,"""No one would believe""",radost,5,50,0.1,No one would believe,joy
16,"""No one would believe""",strah,11,50,0.22,No one would believe,fear
16,"""No one would believe""",tuga,21,50,0.42,No one would believe,sadness
18,Perpetrator was a family member,bes,6,36,0.16666666666666666,Perpetrator was family,anger
18,Perpetrator was a family member,gađenje,6,36,0.16666666666666666,Perpetrator was family,disgust
18,Perpetrator was a family member,neutralno,1,36,0.027777777777777776,Perpetrator was family,neutral
18,Perpetrator was a family member,radost,1,36,0.027777777777777776,Perpetrator was family,joy
18,Perpetrator was a family member,strah,7,36,0.19444444444444445,Perpetrator was family,fear
