post_phase_id,post_phase,post_phase_group,motive_family,motive_label,emotion,tweets,phase_reason_total,phase_reason_emotion_share,display_label,emotion_display
1.0,phase_1,phase 1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),tuga,1,1,1.0,Gaslighting or self-doubt,sadness
1.0,phase_1,phase 1,11,Shame/embarassment,strah,1,6,0.16666666666666666,Shame or embarrassment,fear
1.0,phase_1,phase 1,11,Shame/embarassment,tuga,5,6,0.8333333333333334,Shame or embarrassment,sadness
1.0,phase_1,phase 1,12,Lack of support from others,gađenje,1,4,0.25,Lack of support,disgust
1.0,phase_1,phase 1,12,Lack of support from others,strah,2,4,0.5,Lack of support,fear
1.0,phase_1,phase 1,12,Lack of support from others,tuga,1,4,0.25,Lack of support,sadness
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",gađenje,1,4,0.25,Perpetrator status or power,disgust
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",strah,1,4,0.25,Perpetrator status or power,fear
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",tuga,2,4,0.5,Perpetrator status or power,sadness
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,gađenje,1,7,0.14285714285714285,Invisible violence or lack of evidence,disgust
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,strah,2,7,0.2857142857142857,Invisible violence or lack of evidence,fear
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,tuga,4,7,0.5714285714285714,Invisible violence or lack of evidence,sadness
1.0,phase_1,phase 1,16,"""No one would believe""",tuga,1,1,1.0,No one would believe,sadness
1.0,phase_1,phase 1,18,Perpetrator was a family member,tuga,1,1,1.0,Perpetrator was family,sadness
1.0,phase_1,phase 1,19,Protection of the family,nepoznato,1,4,0.25,Family protection,unknown
1.0,phase_1,phase 1,19,Protection of the family,strah,3,4,0.75,Family protection,fear
1.0,phase_1,phase 1,2,Distrust in institutions,radost,1,7,0.14285714285714285,Distrust in institutions,joy
1.0,phase_1,phase 1,2,Distrust in institutions,strah,3,7,0.42857142857142855,Distrust in institutions,fear
