post_phase_id,post_phase,post_phase_group,motive_family,motive_label,emotion,tweets,phase_reason_total,phase_reason_emotion_share,display_label,emotion_display
1.0,phase_1,phase 1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),sadness,1,1,1.0,Gaslighting or self-doubt,sadness
1.0,phase_1,phase 1,11,Shame/embarassment,anger,4,6,0.6666666666666666,Shame or embarrassment,anger
1.0,phase_1,phase 1,11,Shame/embarassment,fear,1,6,0.16666666666666666,Shame or embarrassment,fear
1.0,phase_1,phase 1,11,Shame/embarassment,sadness,1,6,0.16666666666666666,Shame or embarrassment,sadness
1.0,phase_1,phase 1,12,Lack of support from others,fear,2,4,0.5,Lack of support,fear
1.0,phase_1,phase 1,12,Lack of support from others,sadness,2,4,0.5,Lack of support,sadness
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",anger,2,3,0.6666666666666666,Perpetrator status or power,anger
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",fear,1,3,0.3333333333333333,Perpetrator status or power,fear
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,anger,2,7,0.2857142857142857,Invisible violence or lack of evidence,anger
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,fear,3,7,0.42857142857142855,Invisible violence or lack of evidence,fear
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,sadness,2,7,0.2857142857142857,Invisible violence or lack of evidence,sadness
1.0,phase_1,phase 1,16,"""No one would believe""",sadness,1,1,1.0,No one would believe,sadness
1.0,phase_1,phase 1,19,Protection of the family,joy,2,2,1.0,Family protection,joy
1.0,phase_1,phase 1,2,Distrust in institutions,anger,2,7,0.2857142857142857,Distrust in institutions,anger
1.0,phase_1,phase 1,2,Distrust in institutions,fear,2,7,0.2857142857142857,Distrust in institutions,fear
1.0,phase_1,phase 1,2,Distrust in institutions,joy,1,7,0.14285714285714285,Distrust in institutions,joy
1.0,phase_1,phase 1,2,Distrust in institutions,sadness,2,7,0.2857142857142857,Distrust in institutions,sadness
1.0,phase_1,phase 1,3,Others minimized victims experience,anger,1,5,0.2,Others minimized the experience,anger
1.0,phase_1,phase 1,3,Others minimized victims experience,joy,1,5,0.2,Others minimized the experience,joy
1.0,phase_1,phase 1,3,Others minimized victims experience,sadness,3,5,0.6,Others minimized the experience,sadness
1.0,phase_1,phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",anger,1,4,0.25,Experience treated as normal,anger
1.0,phase_1,phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",fear,3,4,0.75,Experience treated as normal,fear
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,anger,4,10,0.4,Lack of knowledge about violence,anger
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,fear,1,10,0.1,Lack of knowledge about violence,fear
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,joy,2,10,0.2,Lack of knowledge about violence,joy
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,sadness,3,10,0.3,Lack of knowledge about violence,sadness
1.0,phase_1,phase 1,6,Fear,anger,3,8,0.375,Fear,anger
1.0,phase_1,phase 1,6,Fear,fear,2,8,0.25,Fear,fear
1.0,phase_1,phase 1,6,Fear,joy,1,8,0.125,Fear,joy
1.0,phase_1,phase 1,6,Fear,sadness,2,8,0.25,Fear,sadness
1.0,phase_1,phase 1,7,Self-blame,anger,2,3,0.6666666666666666,Self-blame,anger
1.0,phase_1,phase 1,7,Self-blame,sadness,1,3,0.3333333333333333,Self-blame,sadness
1.0,phase_1,phase 1,8,"Kept from reporting by others (""advised me not to report"")",anger,1,1,1.0,Discouraged by others,anger
1.0,phase_1,phase 1,9,Managed to escape/defend,fear,1,2,0.5,Escaped or defended oneself,fear
1.0,phase_1,phase 1,9,Managed to escape/defend,sadness,1,2,0.5,Escaped or defended oneself,sadness
2.0,phase_2,phase 2,1,Demotivated by previous cases of reporting,anger,2,9,0.2222222222222222,Discouraged by prior reporting outcomes,anger
2.0,phase_2,phase 2,1,Demotivated by previous cases of reporting,fear,1,9,0.1111111111111111,Discouraged by prior reporting outcomes,fear
2.0,phase_2,phase 2,1,Demotivated by previous cases of reporting,joy,4,9,0.4444444444444444,Discouraged by prior reporting outcomes,joy
2.0,phase_2,phase 2,1,Demotivated by previous cases of reporting,sadness,2,9,0.2222222222222222,Discouraged by prior reporting outcomes,sadness
2.0,phase_2,phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),anger,8,36,0.2222222222222222,Gaslighting or self-doubt,anger
2.0,phase_2,phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),fear,5,36,0.1388888888888889,Gaslighting or self-doubt,fear
2.0,phase_2,phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),joy,8,36,0.2222222222222222,Gaslighting or self-doubt,joy
2.0,phase_2,phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),sadness,15,36,0.4166666666666667,Gaslighting or self-doubt,sadness
2.0,phase_2,phase 2,11,Shame/embarassment,anger,18,67,0.26865671641791045,Shame or embarrassment,anger
2.0,phase_2,phase 2,11,Shame/embarassment,fear,10,67,0.14925373134328357,Shame or embarrassment,fear
2.0,phase_2,phase 2,11,Shame/embarassment,joy,11,67,0.16417910447761194,Shame or embarrassment,joy
2.0,phase_2,phase 2,11,Shame/embarassment,sadness,28,67,0.417910447761194,Shame or embarrassment,sadness
2.0,phase_2,phase 2,12,Lack of support from others,anger,7,43,0.16279069767441862,Lack of support,anger
2.0,phase_2,phase 2,12,Lack of support from others,fear,11,43,0.2558139534883721,Lack of support,fear
2.0,phase_2,phase 2,12,Lack of support from others,joy,6,43,0.13953488372093023,Lack of support,joy
2.0,phase_2,phase 2,12,Lack of support from others,sadness,19,43,0.4418604651162791,Lack of support,sadness
2.0,phase_2,phase 2,14,"Perpetrator was respected, powerfull, influential",anger,16,54,0.2962962962962963,Perpetrator status or power,anger
2.0,phase_2,phase 2,14,"Perpetrator was respected, powerfull, influential",fear,11,54,0.2037037037037037,Perpetrator status or power,fear
