post_phase_id,post_phase,motive_family,motive_label,label_assignments,unique_tweets,phase_total_assignments,phase_share,display_label
1.0,phase_1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),1,1,74,0.013513513513513514,Gaslighting or self-doubt
1.0,phase_1,11,Shame/embarassment,6,6,74,0.08108108108108109,Shame or embarrassment
1.0,phase_1,12,Lack of support from others,4,4,74,0.05405405405405406,Lack of support
1.0,phase_1,14,"Perpetrator was respected, powerfull, influential",4,4,74,0.05405405405405406,Perpetrator status or power
1.0,phase_1,15,Invisible violence / lack of physical evidence,7,7,74,0.0945945945945946,Invisible violence or lack of evidence
1.0,phase_1,16,"""No one would believe""",1,1,74,0.013513513513513514,No one would believe
1.0,phase_1,18,Perpetrator was a family member,1,1,74,0.013513513513513514,Perpetrator was family
1.0,phase_1,19,Protection of the family,4,4,74,0.05405405405405406,Family protection
1.0,phase_1,2,Distrust in institutions,7,7,74,0.0945945945945946,Distrust in institutions
1.0,phase_1,20,"Belief that perpetartor will change (""it won't happen again"")",1,1,74,0.013513513513513514,Belief perpetrator would change
1.0,phase_1,22,Dependent on the perpetrator,2,2,74,0.02702702702702703,Dependence on perpetrator
1.0,phase_1,3,Others minimized victims experience,5,4,74,0.06756756756756757,Others minimized the experience
1.0,phase_1,4,"""I tought that was normal"" (dismisal/minimizing)",3,3,74,0.04054054054054054,Experience treated as normal
1.0,phase_1,5,Lack of knowledge/awarenes that it is violence,10,10,74,0.13513513513513514,Lack of recognition as violence
1.0,phase_1,6,Fear,8,8,74,0.10810810810810811,Fear
1.0,phase_1,7,Self-blame,8,8,74,0.10810810810810811,Self-blame
1.0,phase_1,9,Managed to escape/defend,2,2,74,0.02702702702702703,Escaped or defended oneself
2.0,phase_2,1,Demotivated by previous cases of reporting,6,6,766,0.007832898172323759,Demotivated by previous cases of reporting
2.0,phase_2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),24,24,766,0.031331592689295036,Gaslighting or self-doubt
2.0,phase_2,11,Shame/embarassment,50,50,766,0.06527415143603134,Shame or embarrassment
2.0,phase_2,12,Lack of support from others,28,28,766,0.03655352480417755,Lack of support
2.0,phase_2,14,"Perpetrator was respected, powerfull, influential",39,39,766,0.050913838120104436,Perpetrator status or power
2.0,phase_2,15,Invisible violence / lack of physical evidence,36,36,766,0.04699738903394256,Invisible violence or lack of evidence
2.0,phase_2,16,"""No one would believe""",33,33,766,0.04308093994778068,No one would believe
2.0,phase_2,18,Perpetrator was a family member,24,24,766,0.031331592689295036,Perpetrator was family
2.0,phase_2,19,Protection of the family,36,36,766,0.04699738903394256,Family protection
2.0,phase_2,2,Distrust in institutions,29,29,766,0.037859007832898174,Distrust in institutions
2.0,phase_2,20,"Belief that perpetartor will change (""it won't happen again"")",2,2,766,0.0026109660574412533,Belief perpetrator would change
