post_phase_id,post_phase,post_phase_group,coded_post_type,motive_family,motive_label,label_assignments,unique_tweets,phase_total_assignments,phase_assignment_share,display_label
1.0,phase_1,phase 1,comment,15,Invisible violence / lack of physical evidence,2,2,74,0.02702702702702703,Invisible violence or lack of evidence
1.0,phase_1,phase 1,comment,19,Protection of the family,1,1,74,0.013513513513513514,Family protection
1.0,phase_1,phase 1,comment,5,Lack of knowledge/awarenes that it is violence,1,1,74,0.013513513513513514,Lack of recognition as violence
1.0,phase_1,phase 1,comment,6,Fear,2,2,74,0.02702702702702703,Fear
1.0,phase_1,phase 1,comment,7,Self-blame,1,1,74,0.013513513513513514,Self-blame
1.0,phase_1,phase 1,post,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),1,1,74,0.013513513513513514,Gaslighting or self-doubt
1.0,phase_1,phase 1,post,11,Shame/embarassment,6,6,74,0.08108108108108109,Shame or embarrassment
1.0,phase_1,phase 1,post,12,Lack of support from others,4,4,74,0.05405405405405406,Lack of support
1.0,phase_1,phase 1,post,14,"Perpetrator was respected, powerfull, influential",4,4,74,0.05405405405405406,Perpetrator status or power
1.0,phase_1,phase 1,post,15,Invisible violence / lack of physical evidence,5,5,74,0.06756756756756757,Invisible violence or lack of evidence
1.0,phase_1,phase 1,post,16,"""No one would believe""",1,1,74,0.013513513513513514,No one would believe
1.0,phase_1,phase 1,post,18,Perpetrator was a family member,1,1,74,0.013513513513513514,Perpetrator was family
1.0,phase_1,phase 1,post,19,Protection of the family,3,3,74,0.04054054054054054,Family protection
1.0,phase_1,phase 1,post,2,Distrust in institutions,7,7,74,0.0945945945945946,Distrust in institutions
1.0,phase_1,phase 1,post,20,"Belief that perpetartor will change (""it won't happen again"")",1,1,74,0.013513513513513514,Belief perpetrator would change
1.0,phase_1,phase 1,post,22,Dependent on the perpetrator,2,2,74,0.02702702702702703,Dependence on perpetrator
1.0,phase_1,phase 1,post,3,Others minimized victims experience,5,4,74,0.06756756756756757,Others minimized the experience
1.0,phase_1,phase 1,post,4,"""I tought that was normal"" (dismisal/minimizing)",3,3,74,0.04054054054054054,Experience treated as normal
1.0,phase_1,phase 1,post,5,Lack of knowledge/awarenes that it is violence,9,9,74,0.12162162162162163,Lack of recognition as violence
1.0,phase_1,phase 1,post,6,Fear,6,6,74,0.08108108108108109,Fear
1.0,phase_1,phase 1,post,7,Self-blame,7,7,74,0.0945945945945946,Self-blame
1.0,phase_1,phase 1,post,9,Managed to escape/defend,2,2,74,0.02702702702702703,Escaped or defended oneself
2.0,phase_2,phases 2-3,comment,1,Demotivated by previous cases of reporting,1,1,766,0.0013054830287206266,Demotivated by previous cases of reporting
2.0,phase_2,phases 2-3,comment,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),1,1,766,0.0013054830287206266,Gaslighting or self-doubt
2.0,phase_2,phases 2-3,comment,11,Shame/embarassment,6,6,766,0.007832898172323759,Shame or embarrassment
2.0,phase_2,phases 2-3,comment,12,Lack of support from others,5,5,766,0.006527415143603133,Lack of support
2.0,phase_2,phases 2-3,comment,14,"Perpetrator was respected, powerfull, influential",9,9,766,0.01174934725848564,Perpetrator status or power
2.0,phase_2,phases 2-3,comment,15,Invisible violence / lack of physical evidence,4,4,766,0.005221932114882507,Invisible violence or lack of evidence
2.0,phase_2,phases 2-3,comment,16,"""No one would believe""",9,9,766,0.01174934725848564,No one would believe
2.0,phase_2,phases 2-3,comment,18,Perpetrator was a family member,4,4,766,0.005221932114882507,Perpetrator was family
