post_phase_id,post_phase,post_phase_group,motive_family,motive_label,emotion,tweets,phase_reason_total,phase_reason_emotion_share,display_label,emotion_display
1.0,phase_1,phase 1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),tuga,1,1,1.0,Gaslighting or self-doubt,sadness
1.0,phase_1,phase 1,11,Shame/embarassment,bes,2,6,0.3333333333333333,Shame or embarrassment,anger
1.0,phase_1,phase 1,11,Shame/embarassment,poverenje,1,6,0.16666666666666666,Shame or embarrassment,trust
1.0,phase_1,phase 1,11,Shame/embarassment,tuga,3,6,0.5,Shame or embarrassment,sadness
1.0,phase_1,phase 1,12,Lack of support from others,bes,1,4,0.25,Lack of support,anger
1.0,phase_1,phase 1,12,Lack of support from others,strah,1,4,0.25,Lack of support,fear
1.0,phase_1,phase 1,12,Lack of support from others,tuga,2,4,0.5,Lack of support,sadness
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",strah,2,3,0.6666666666666666,Perpetrator status or power,fear
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",tuga,1,3,0.3333333333333333,Perpetrator status or power,sadness
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,strah,2,7,0.2857142857142857,Invisible violence or lack of evidence,fear
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,tuga,5,7,0.7142857142857143,Invisible violence or lack of evidence,sadness
1.0,phase_1,phase 1,16,"""No one would believe""",tuga,1,1,1.0,No one would believe,sadness
1.0,phase_1,phase 1,19,Protection of the family,strah,1,2,0.5,Family protection,fear
1.0,phase_1,phase 1,19,Protection of the family,tuga,1,2,0.5,Family protection,sadness
1.0,phase_1,phase 1,2,Distrust in institutions,poverenje,1,7,0.14285714285714285,Distrust in institutions,trust
1.0,phase_1,phase 1,2,Distrust in institutions,strah,3,7,0.42857142857142855,Distrust in institutions,fear
1.0,phase_1,phase 1,2,Distrust in institutions,tuga,3,7,0.42857142857142855,Distrust in institutions,sadness
1.0,phase_1,phase 1,3,Others minimized victims experience,strah,2,5,0.4,Others minimized the experience,fear
1.0,phase_1,phase 1,3,Others minimized victims experience,tuga,3,5,0.6,Others minimized the experience,sadness
1.0,phase_1,phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",strah,2,4,0.5,Experience treated as normal,fear
1.0,phase_1,phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",tuga,2,4,0.5,Experience treated as normal,sadness
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,bes,1,10,0.1,Lack of knowledge about violence,anger
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,gađenje,1,10,0.1,Lack of knowledge about violence,disgust
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,strah,2,10,0.2,Lack of knowledge about violence,fear
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,tuga,6,10,0.6,Lack of knowledge about violence,sadness
1.0,phase_1,phase 1,6,Fear,bes,2,8,0.25,Fear,anger
1.0,phase_1,phase 1,6,Fear,gađenje,1,8,0.125,Fear,disgust
1.0,phase_1,phase 1,6,Fear,strah,1,8,0.125,Fear,fear
1.0,phase_1,phase 1,6,Fear,tuga,4,8,0.5,Fear,sadness
1.0,phase_1,phase 1,7,Self-blame,tuga,3,3,1.0,Self-blame,sadness
1.0,phase_1,phase 1,8,"Kept from reporting by others (""advised me not to report"")",strah,1,1,1.0,Discouraged by others,fear
1.0,phase_1,phase 1,9,Managed to escape/defend,strah,1,2,0.5,Escaped or defended oneself,fear
1.0,phase_1,phase 1,9,Managed to escape/defend,tuga,1,2,0.5,Escaped or defended oneself,sadness
2.0,phase_2,phase 2,1,Demotivated by previous cases of reporting,bes,1,9,0.1111111111111111,Discouraged by prior reporting outcomes,anger
2.0,phase_2,phase 2,1,Demotivated by previous cases of reporting,strah,1,9,0.1111111111111111,Discouraged by prior reporting outcomes,fear
2.0,phase_2,phase 2,1,Demotivated by previous cases of reporting,tuga,7,9,0.7777777777777778,Discouraged by prior reporting outcomes,sadness
2.0,phase_2,phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),bes,3,36,0.08333333333333333,Gaslighting or self-doubt,anger
2.0,phase_2,phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),gađenje,3,36,0.08333333333333333,Gaslighting or self-doubt,disgust
2.0,phase_2,phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),poverenje,1,36,0.027777777777777776,Gaslighting or self-doubt,trust
2.0,phase_2,phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),radost,2,36,0.05555555555555555,Gaslighting or self-doubt,joy
2.0,phase_2,phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),strah,15,36,0.4166666666666667,Gaslighting or self-doubt,fear
2.0,phase_2,phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),tuga,12,36,0.3333333333333333,Gaslighting or self-doubt,sadness
2.0,phase_2,phase 2,11,Shame/embarassment,bes,10,67,0.14925373134328357,Shame or embarrassment,anger
2.0,phase_2,phase 2,11,Shame/embarassment,poverenje,2,67,0.029850746268656716,Shame or embarrassment,trust
2.0,phase_2,phase 2,11,Shame/embarassment,strah,21,67,0.31343283582089554,Shame or embarrassment,fear
2.0,phase_2,phase 2,11,Shame/embarassment,tuga,34,67,0.5074626865671642,Shame or embarrassment,sadness
2.0,phase_2,phase 2,12,Lack of support from others,bes,6,43,0.13953488372093023,Lack of support,anger
2.0,phase_2,phase 2,12,Lack of support from others,gađenje,3,43,0.06976744186046512,Lack of support,disgust
2.0,phase_2,phase 2,12,Lack of support from others,poverenje,2,43,0.046511627906976744,Lack of support,trust
2.0,phase_2,phase 2,12,Lack of support from others,radost,1,43,0.023255813953488372,Lack of support,joy
2.0,phase_2,phase 2,12,Lack of support from others,strah,10,43,0.23255813953488372,Lack of support,fear
2.0,phase_2,phase 2,12,Lack of support from others,tuga,21,43,0.4883720930232558,Lack of support,sadness
2.0,phase_2,phase 2,14,"Perpetrator was respected, powerfull, influential",bes,7,54,0.12962962962962962,Perpetrator status or power,anger
2.0,phase_2,phase 2,14,"Perpetrator was respected, powerfull, influential",gađenje,2,54,0.037037037037037035,Perpetrator status or power,disgust
2.0,phase_2,phase 2,14,"Perpetrator was respected, powerfull, influential",poverenje,2,54,0.037037037037037035,Perpetrator status or power,trust
