post_phase_group,motive_family,motive_label,label_assignments,unique_tweets,group_total_assignments,group_assignment_share,display_label
phase 1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),1,1,74,0.013513513513513514,Gaslighting or self-doubt
phase 1,11,Shame/embarassment,6,6,74,0.08108108108108109,Shame or embarrassment
phase 1,12,Lack of support from others,4,4,74,0.05405405405405406,Lack of support
phase 1,14,"Perpetrator was respected, powerfull, influential",4,4,74,0.05405405405405406,Perpetrator status or power
phase 1,15,Invisible violence / lack of physical evidence,7,7,74,0.0945945945945946,Invisible violence or lack of evidence
phase 1,16,"""No one would believe""",1,1,74,0.013513513513513514,No one would believe
phase 1,18,Perpetrator was a family member,1,1,74,0.013513513513513514,Perpetrator was family
phase 1,19,Protection of the family,4,4,74,0.05405405405405406,Family protection
phase 1,2,Distrust in institutions,7,7,74,0.0945945945945946,Distrust in institutions
phase 1,20,"Belief that perpetartor will change (""it won't happen again"")",1,1,74,0.013513513513513514,Belief perpetrator would change
phase 1,22,Dependent on the perpetrator,2,2,74,0.02702702702702703,Dependence on perpetrator
phase 1,3,Others minimized victims experience,5,4,74,0.06756756756756757,Others minimized the experience
phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",3,3,74,0.04054054054054054,Experience treated as normal
phase 1,5,Lack of knowledge/awarenes that it is violence,10,10,74,0.13513513513513514,Lack of recognition as violence
phase 1,6,Fear,8,8,74,0.10810810810810811,Fear
phase 1,7,Self-blame,8,8,74,0.10810810810810811,Self-blame
phase 1,9,Managed to escape/defend,2,2,74,0.02702702702702703,Escaped or defended oneself
phases 2-3,1,Demotivated by previous cases of reporting,7,7,1051,0.006660323501427212,Demotivated by previous cases of reporting
phases 2-3,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),38,38,1051,0.03615604186489058,Gaslighting or self-doubt
phases 2-3,11,Shame/embarassment,65,65,1051,0.06184586108468126,Shame or embarrassment
phases 2-3,12,Lack of support from others,45,45,1051,0.04281636536631779,Lack of support
phases 2-3,14,"Perpetrator was respected, powerfull, influential",53,53,1051,0.05042816365366318,Perpetrator status or power
phases 2-3,15,Invisible violence / lack of physical evidence,47,47,1051,0.04471931493815414,Invisible violence or lack of evidence
phases 2-3,16,"""No one would believe""",46,46,1051,0.04376784015223597,No one would believe
