phase_id,motive_family,motive_label,emotion_gemma,tweets
1,2,Distrust in institutions,radost,1
1,2,Distrust in institutions,strah,2
1,2,Distrust in institutions,tuga,3
1,3,Others minimized victims experience,gađenje,1
1,3,Others minimized victims experience,strah,2
1,3,Others minimized victims experience,tuga,1
1,4,"""I tought that was normal"" (dismisal/minimizing)",gađenje,1
1,4,"""I tought that was normal"" (dismisal/minimizing)",tuga,1
1,5,Lack of knowledge/awarenes that it is violence,bes,2
1,5,Lack of knowledge/awarenes that it is violence,strah,2
1,5,Lack of knowledge/awarenes that it is violence,tuga,4
1,6,Fear,bes,1
1,6,Fear,strah,2
1,6,Fear,tuga,4
1,7,Self-blame,bes,1
1,7,Self-blame,tuga,3
1,9,Managed to escape/defend,tuga,2
1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),tuga,1
1,11,Shame/embarassment,tuga,4
1,12,Lack of support from others,gađenje,1
1,12,Lack of support from others,strah,1
1,14,"Perpetrator was respected, powerfull, influential",gađenje,1
1,14,"Perpetrator was respected, powerfull, influential",strah,1
1,14,"Perpetrator was respected, powerfull, influential",tuga,2
1,15,Invisible violence / lack of physical evidence,gađenje,1
1,15,Invisible violence / lack of physical evidence,strah,2
1,15,Invisible violence / lack of physical evidence,tuga,4
1,16,"""No one would believe""",tuga,1
1,18,Perpetrator was a family member,tuga,1
1,19,Protection of the family,strah,1
1,22,Dependent on the perpetrator,tuga,2
2,1,Demotivated by previous cases of reporting,bes,1
2,1,Demotivated by previous cases of reporting,strah,1
2,1,Demotivated by previous cases of reporting,tuga,7
2,2,Distrust in institutions,bes,6
2,2,Distrust in institutions,gađenje,2
2,2,Distrust in institutions,radost,2
2,2,Distrust in institutions,strah,10
2,2,Distrust in institutions,tuga,15
2,3,Others minimized victims experience,bes,9
2,3,Others minimized victims experience,gađenje,6
2,3,Others minimized victims experience,neutralno,1
2,3,Others minimized victims experience,poverenje,1
2,3,Others minimized victims experience,radost,3
2,3,Others minimized victims experience,strah,6
2,3,Others minimized victims experience,tuga,33
2,4,"""I tought that was normal"" (dismisal/minimizing)",bes,2
2,4,"""I tought that was normal"" (dismisal/minimizing)",gađenje,3
2,4,"""I tought that was normal"" (dismisal/minimizing)",neutralno,1
2,4,"""I tought that was normal"" (dismisal/minimizing)",radost,1
2,4,"""I tought that was normal"" (dismisal/minimizing)",strah,1
2,4,"""I tought that was normal"" (dismisal/minimizing)",tuga,7
2,5,Lack of knowledge/awarenes that it is violence,bes,40
2,5,Lack of knowledge/awarenes that it is violence,gađenje,31
2,5,Lack of knowledge/awarenes that it is violence,neutralno,4
2,5,Lack of knowledge/awarenes that it is violence,poverenje,6
2,5,Lack of knowledge/awarenes that it is violence,radost,8
2,5,Lack of knowledge/awarenes that it is violence,strah,44
2,5,Lack of knowledge/awarenes that it is violence,tuga,103
2,6,Fear,bes,18
2,6,Fear,gađenje,12
2,6,Fear,iščekivanje,1
2,6,Fear,neutralno,1
2,6,Fear,poverenje,2
2,6,Fear,radost,8
2,6,Fear,strah,20
2,6,Fear,tuga,62
2,7,Self-blame,bes,15
2,7,Self-blame,gađenje,8
2,7,Self-blame,neutralno,4
2,7,Self-blame,radost,5
2,7,Self-blame,strah,14
