post_phase_id,post_phase,post_phase_group,motive_family,motive_label,emotion,tweets,phase_reason_total,phase_reason_emotion_share,display_label,emotion_display
1.0,phase_1,phase 1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),sadness,1,1,1.0,Gaslighting or self-doubt,sadness
1.0,phase_1,phase 1,11,Shame/embarassment,anger,1,6,0.16666666666666666,Shame or embarrassment,anger
1.0,phase_1,phase 1,11,Shame/embarassment,fear,2,6,0.3333333333333333,Shame or embarrassment,fear
1.0,phase_1,phase 1,11,Shame/embarassment,joy,1,6,0.16666666666666666,Shame or embarrassment,joy
1.0,phase_1,phase 1,11,Shame/embarassment,sadness,2,6,0.3333333333333333,Shame or embarrassment,sadness
1.0,phase_1,phase 1,12,Lack of support from others,fear,2,4,0.5,Lack of support,fear
1.0,phase_1,phase 1,12,Lack of support from others,sadness,2,4,0.5,Lack of support,sadness
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",anger,1,4,0.25,Perpetrator status or power,anger
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",fear,1,4,0.25,Perpetrator status or power,fear
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",joy,1,4,0.25,Perpetrator status or power,joy
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",sadness,1,4,0.25,Perpetrator status or power,sadness
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,anger,1,7,0.14285714285714285,Invisible violence or lack of evidence,anger
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,fear,4,7,0.5714285714285714,Invisible violence or lack of evidence,fear
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,sadness,2,7,0.2857142857142857,Invisible violence or lack of evidence,sadness
1.0,phase_1,phase 1,16,"""No one would believe""",sadness,1,1,1.0,No one would believe,sadness
1.0,phase_1,phase 1,18,Perpetrator was a family member,sadness,1,1,1.0,Perpetrator was family,sadness
1.0,phase_1,phase 1,19,Protection of the family,fear,2,4,0.5,Family protection,fear
1.0,phase_1,phase 1,19,Protection of the family,joy,2,4,0.5,Family protection,joy
1.0,phase_1,phase 1,2,Distrust in institutions,anger,2,7,0.2857142857142857,Distrust in institutions,anger
1.0,phase_1,phase 1,2,Distrust in institutions,fear,2,7,0.2857142857142857,Distrust in institutions,fear
1.0,phase_1,phase 1,2,Distrust in institutions,joy,1,7,0.14285714285714285,Distrust in institutions,joy
1.0,phase_1,phase 1,2,Distrust in institutions,sadness,2,7,0.2857142857142857,Distrust in institutions,sadness
1.0,phase_1,phase 1,20,"Belief that perpetartor will change (""it won't happen again"")",sadness,1,1,1.0,Belief perpetrator would change,sadness
1.0,phase_1,phase 1,22,Dependent on the perpetrator,joy,1,2,0.5,Dependence on perpetrator,joy
1.0,phase_1,phase 1,22,Dependent on the perpetrator,sadness,1,2,0.5,Dependence on perpetrator,sadness
1.0,phase_1,phase 1,3,Others minimized victims experience,anger,2,4,0.5,Others minimized the experience,anger
1.0,phase_1,phase 1,3,Others minimized victims experience,joy,1,4,0.25,Others minimized the experience,joy
1.0,phase_1,phase 1,3,Others minimized victims experience,sadness,1,4,0.25,Others minimized the experience,sadness
1.0,phase_1,phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",anger,1,3,0.3333333333333333,Experience treated as normal,anger
1.0,phase_1,phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",fear,2,3,0.6666666666666666,Experience treated as normal,fear
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,anger,4,10,0.4,Lack of recognition as violence,anger
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,fear,2,10,0.2,Lack of recognition as violence,fear
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,joy,1,10,0.1,Lack of recognition as violence,joy
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,sadness,3,10,0.3,Lack of recognition as violence,sadness
1.0,phase_1,phase 1,6,Fear,anger,2,8,0.25,Fear,anger
1.0,phase_1,phase 1,6,Fear,fear,1,8,0.125,Fear,fear
