post_phase_id,post_phase,motive_family,motive_label,label_assignments,unique_tweets,phase_total_assignments,phase_share,display_label
1.0,phase_1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),1,1,64,0.015625,Gaslighting or self-doubt
1.0,phase_1,11,Shame/embarassment,6,6,64,0.09375,Shame or embarrassment
1.0,phase_1,12,Lack of support from others,4,4,64,0.0625,Lack of support
1.0,phase_1,14,"Perpetrator was respected, powerfull, influential",3,3,64,0.046875,Perpetrator status or power
1.0,phase_1,15,Invisible violence / lack of physical evidence,7,7,64,0.109375,Invisible violence or lack of evidence
1.0,phase_1,16,"""No one would believe""",1,1,64,0.015625,No one would believe
1.0,phase_1,19,Protection of the family,2,2,64,0.03125,Family protection
1.0,phase_1,2,Distrust in institutions,7,7,64,0.109375,Distrust in institutions
1.0,phase_1,3,Others minimized victims experience,5,5,64,0.078125,Others minimized the experience
1.0,phase_1,4,"""I tought that was normal"" (dismisal/minimizing)",4,4,64,0.0625,Experience treated as normal
1.0,phase_1,5,Lack of knowledge/awarenes that it is violence,10,10,64,0.15625,Lack of knowledge about violence
1.0,phase_1,6,Fear,8,8,64,0.125,Fear
1.0,phase_1,7,Self-blame,3,3,64,0.046875,Self-blame
1.0,phase_1,8,"Kept from reporting by others (""advised me not to report"")",1,1,64,0.015625,Discouraged by others
1.0,phase_1,9,Managed to escape/defend,2,2,64,0.03125,Escaped or defended oneself
2.0,phase_2,1,Demotivated by previous cases of reporting,9,9,1043,0.00862895493767977,Discouraged by prior reporting outcomes
2.0,phase_2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),36,36,1043,0.03451581975071908,Gaslighting or self-doubt
2.0,phase_2,11,Shame/embarassment,67,67,1043,0.06423777564717162,Shame or embarrassment
2.0,phase_2,12,Lack of support from others,43,43,1043,0.04122722914669223,Lack of support
2.0,phase_2,14,"Perpetrator was respected, powerfull, influential",54,54,1043,0.05177372962607862,Perpetrator status or power
2.0,phase_2,15,Invisible violence / lack of physical evidence,49,49,1043,0.04697986577181208,Invisible violence or lack of evidence
2.0,phase_2,16,"""No one would believe""",46,46,1043,0.04410354745925216,No one would believe
2.0,phase_2,17,Blaming the victim,20,20,1043,0.019175455417066157,Victim blaming
2.0,phase_2,18,Perpetrator was a family member,30,30,1043,0.028763183125599234,Perpetrator was family
2.0,phase_2,19,Protection of the family,51,51,1043,0.0488974113135187,Family protection
2.0,phase_2,2,Distrust in institutions,35,35,1043,0.03355704697986577,Distrust in institutions
2.0,phase_2,20,"Belief that perpetartor will change (""it won't happen again"")",3,3,1043,0.0028763183125599234,Belief perpetrator would change
2.0,phase_2,22,Dependent on the perpetrator,11,11,1043,0.010546500479386385,Dependence on perpetrator
2.0,phase_2,23,I can deal with it,11,11,1043,0.010546500479386385,Belief that one could deal with it
2.0,phase_2,24,OTHER,7,7,1043,0.006711409395973154,Other
2.0,phase_2,3,Others minimized victims experience,59,59,1043,0.05656759348034516,Others minimized the experience
2.0,phase_2,4,"""I tought that was normal"" (dismisal/minimizing)",13,13,1043,0.012464046021093002,Experience treated as normal
2.0,phase_2,5,Lack of knowledge/awarenes that it is violence,232,232,1043,0.2224352828379674,Lack of knowledge about violence
2.0,phase_2,6,Fear,122,122,1043,0.11697027804410355,Fear
2.0,phase_2,7,Self-blame,87,87,1043,0.08341323106423777,Self-blame
2.0,phase_2,8,"Kept from reporting by others (""advised me not to report"")",7,7,1043,0.006711409395973154,Discouraged by others
2.0,phase_2,9,Managed to escape/defend,51,51,1043,0.0488974113135187,Escaped or defended oneself
3.0,phase_3,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),6,6,123,0.04878048780487805,Gaslighting or self-doubt
3.0,phase_3,11,Shame/embarassment,5,5,123,0.04065040650406504,Shame or embarrassment
3.0,phase_3,12,Lack of support from others,12,12,123,0.0975609756097561,Lack of support
3.0,phase_3,14,"Perpetrator was respected, powerfull, influential",4,4,123,0.032520325203252036,Perpetrator status or power
3.0,phase_3,16,"""No one would believe""",3,3,123,0.024390243902439025,No one would believe
3.0,phase_3,17,Blaming the victim,1,1,123,0.008130081300813009,Victim blaming
3.0,phase_3,18,Perpetrator was a family member,5,5,123,0.04065040650406504,Perpetrator was family
3.0,phase_3,19,Protection of the family,1,1,123,0.008130081300813009,Family protection
3.0,phase_3,2,Distrust in institutions,6,6,123,0.04878048780487805,Distrust in institutions
3.0,phase_3,20,"Belief that perpetartor will change (""it won't happen again"")",1,1,123,0.008130081300813009,Belief perpetrator would change
3.0,phase_3,22,Dependent on the perpetrator,2,2,123,0.016260162601626018,Dependence on perpetrator
3.0,phase_3,23,I can deal with it,2,2,123,0.016260162601626018,Belief that one could deal with it
3.0,phase_3,24,OTHER,1,1,123,0.008130081300813009,Other
3.0,phase_3,3,Others minimized victims experience,8,8,123,0.06504065040650407,Others minimized the experience
3.0,phase_3,4,"""I tought that was normal"" (dismisal/minimizing)",6,6,123,0.04878048780487805,Experience treated as normal
3.0,phase_3,5,Lack of knowledge/awarenes that it is violence,24,24,123,0.1951219512195122,Lack of knowledge about violence
3.0,phase_3,6,Fear,24,24,123,0.1951219512195122,Fear
3.0,phase_3,7,Self-blame,8,8,123,0.06504065040650407,Self-blame
3.0,phase_3,8,"Kept from reporting by others (""advised me not to report"")",1,1,123,0.008130081300813009,Discouraged by others
3.0,phase_3,9,Managed to escape/defend,3,3,123,0.024390243902439025,Escaped or defended oneself
4.0,phase_4,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),1,1,7,0.14285714285714285,Gaslighting or self-doubt
4.0,phase_4,12,Lack of support from others,1,1,7,0.14285714285714285,Lack of support
4.0,phase_4,14,"Perpetrator was respected, powerfull, influential",1,1,7,0.14285714285714285,Perpetrator status or power
4.0,phase_4,24,OTHER,1,1,7,0.14285714285714285,Other
4.0,phase_4,3,Others minimized victims experience,1,1,7,0.14285714285714285,Others minimized the experience
4.0,phase_4,6,Fear,2,2,7,0.2857142857142857,Fear
6.0,phase_6,18,Perpetrator was a family member,1,1,1,1.0,Perpetrator was family
