post_phase_id,post_phase,post_phase_group,motive_family,motive_label,emotion,tweets,phase_reason_total,phase_reason_emotion_share,display_label,emotion_display
1.0,phase_1,phase 1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),tuga,1,1,1.0,Gaslighting or self-doubt,sadness
1.0,phase_1,phase 1,11,Shame/embarassment,strah,1,6,0.16666666666666666,Shame or embarrassment,fear
1.0,phase_1,phase 1,11,Shame/embarassment,tuga,5,6,0.8333333333333334,Shame or embarrassment,sadness
1.0,phase_1,phase 1,12,Lack of support from others,strah,2,4,0.5,Lack of support,fear
1.0,phase_1,phase 1,12,Lack of support from others,tuga,2,4,0.5,Lack of support,sadness
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",poverenje,1,4,0.25,Perpetrator status or power,trust
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",strah,3,4,0.75,Perpetrator status or power,fear
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,strah,3,7,0.42857142857142855,Invisible violence or lack of evidence,fear
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,tuga,4,7,0.5714285714285714,Invisible violence or lack of evidence,sadness
1.0,phase_1,phase 1,16,"""No one would believe""",tuga,1,1,1.0,No one would believe,sadness
1.0,phase_1,phase 1,18,Perpetrator was a family member,tuga,1,1,1.0,Perpetrator was family,sadness
1.0,phase_1,phase 1,19,Protection of the family,strah,3,4,0.75,Family protection,fear
1.0,phase_1,phase 1,19,Protection of the family,tuga,1,4,0.25,Family protection,sadness
1.0,phase_1,phase 1,2,Distrust in institutions,poverenje,1,7,0.14285714285714285,Distrust in institutions,trust
1.0,phase_1,phase 1,2,Distrust in institutions,strah,3,7,0.42857142857142855,Distrust in institutions,fear
1.0,phase_1,phase 1,2,Distrust in institutions,tuga,3,7,0.42857142857142855,Distrust in institutions,sadness
1.0,phase_1,phase 1,20,"Belief that perpetartor will change (""it won't happen again"")",tuga,1,1,1.0,Belief perpetrator would change,sadness
1.0,phase_1,phase 1,22,Dependent on the perpetrator,tuga,2,2,1.0,Dependence on perpetrator,sadness
