post_phase_id,post_phase,post_phase_group,motive_family,motive_label,emotion,tweets,phase_reason_total,phase_reason_emotion_share,display_label,emotion_display
1.0,phase_1,phase 1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),tuga,1,1,1.0,Gaslighting or self-doubt,sadness
1.0,phase_1,phase 1,11,Shame/embarassment,bes,1,6,0.16666666666666666,Shame or embarrassment,anger
1.0,phase_1,phase 1,11,Shame/embarassment,gađenje,1,6,0.16666666666666666,Shame or embarrassment,disgust
1.0,phase_1,phase 1,11,Shame/embarassment,neutralno,1,6,0.16666666666666666,Shame or embarrassment,neutral
1.0,phase_1,phase 1,11,Shame/embarassment,tuga,3,6,0.5,Shame or embarrassment,sadness
1.0,phase_1,phase 1,12,Lack of support from others,bes,1,4,0.25,Lack of support,anger
1.0,phase_1,phase 1,12,Lack of support from others,gađenje,1,4,0.25,Lack of support,disgust
1.0,phase_1,phase 1,12,Lack of support from others,strah,2,4,0.5,Lack of support,fear
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",gađenje,2,3,0.6666666666666666,Perpetrator status or power,disgust
1.0,phase_1,phase 1,14,"Perpetrator was respected, powerfull, influential",strah,1,3,0.3333333333333333,Perpetrator status or power,fear
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,gađenje,2,7,0.2857142857142857,Invisible violence or lack of evidence,disgust
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,strah,1,7,0.14285714285714285,Invisible violence or lack of evidence,fear
1.0,phase_1,phase 1,15,Invisible violence / lack of physical evidence,tuga,4,7,0.5714285714285714,Invisible violence or lack of evidence,sadness
1.0,phase_1,phase 1,16,"""No one would believe""",tuga,1,1,1.0,No one would believe,sadness
1.0,phase_1,phase 1,19,Protection of the family,strah,1,2,0.5,Family protection,fear
1.0,phase_1,phase 1,19,Protection of the family,tuga,1,2,0.5,Family protection,sadness
1.0,phase_1,phase 1,2,Distrust in institutions,radost,1,7,0.14285714285714285,Distrust in institutions,joy
1.0,phase_1,phase 1,2,Distrust in institutions,strah,3,7,0.42857142857142855,Distrust in institutions,fear
1.0,phase_1,phase 1,2,Distrust in institutions,tuga,3,7,0.42857142857142855,Distrust in institutions,sadness
1.0,phase_1,phase 1,3,Others minimized victims experience,bes,1,5,0.2,Others minimized the experience,anger
1.0,phase_1,phase 1,3,Others minimized victims experience,gađenje,2,5,0.4,Others minimized the experience,disgust
1.0,phase_1,phase 1,3,Others minimized victims experience,strah,2,5,0.4,Others minimized the experience,fear
1.0,phase_1,phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",gađenje,2,4,0.5,Experience treated as normal,disgust
1.0,phase_1,phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",strah,1,4,0.25,Experience treated as normal,fear
1.0,phase_1,phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",tuga,1,4,0.25,Experience treated as normal,sadness
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,bes,3,10,0.3,Lack of knowledge about violence,anger
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,gađenje,1,10,0.1,Lack of knowledge about violence,disgust
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,strah,1,10,0.1,Lack of knowledge about violence,fear
1.0,phase_1,phase 1,5,Lack of knowledge/awarenes that it is violence,tuga,5,10,0.5,Lack of knowledge about violence,sadness
1.0,phase_1,phase 1,6,Fear,bes,2,8,0.25,Fear,anger
1.0,phase_1,phase 1,6,Fear,gađenje,1,8,0.125,Fear,disgust
1.0,phase_1,phase 1,6,Fear,strah,3,8,0.375,Fear,fear
